fraud_type,classification,product_category,commodity,issue,origin,notified_by
Product tampering,Additives not compliant with EU MLsi,Cereals and bakery,biscuits,sorbic acid (E 200) (2600 mg/kg),Poland,Finland
Product tampering,Additives not compliant with EU MLsi,products,bread,propionic acid (E 280) (2.33 g/kg),Netherlands,
Product tampering,Additives not compliant with EU MLsi,products,,sulphur dioxide (E 220) (18.1 mg/kg),North Macedonia,
Product tampering,Additives not compliant with EU MLsi,products,prunes (dried),sorbic acid (E 200) (1600 mg/kg),Serbia,
Product tampering,Additives not compliant with EU MLsi,products,,benzoic acid (E 210) (230.1 mg/l),,
Product tampering,Additives not compliant with EU MLsi,products,meat substitute ingredient,potassium sorbate (E 202) (5600 mg/kg),Netherlands,
Product tampering,Adulteration (ingredient dilution),products,olive pomace oil,sunflower oil,Greece,
Product tampering,Adulteration (ingredient dilution),products,honey,"sugar content, foreign amylases",,
Product tampering,Adulteration (ingredient substitution),products,shrimps (Litopenaeus vannamei) (frozen in glaze with added water),higher content of water than declared (33% instead of 5%) (W/P ratio: 7.9),Vietnam,
Product tampering,Adulteration (ingredient substitution),products,,"water addition (12.6 %) (W/P ratio: 5.5), ""processed"" with undeclared salt",Ecuador,
Product tampering,Adulteration (ingredient substitution),products,shrimps (Litopenaeus vannamei) (frozen in glaze),"water addition (7.3 %) (W/P ratio: 5.5), ""processed"" with undeclared salt",Ecuador,
Product tampering,Adulteration (ingredient substitution),products,,water addition (W/P ratio: 5.9),Vietnam,
Product tampering,Adulteration (ingredient substitution),products,shrimps (Litopenaeus vannamei) (frozen in glaze),water addition (W/P ratio: 6.4),Vietnam,
Product tampering,Adulteration (ingredient substitution),products,,higher content of water than declared (39% instead of 20%) (W/P ratio: 9.02),Vietnam,
Product tampering,Adulteration (ingredient substitution),products,food supplements (shilajit),"absence of shilajit, health claims",Austria,
Product tampering,Adulteration (ingredient substitution),products,,water addition (W/P ratio: 9.4),China,
Product tampering,Adulteration (ingredient substitution),CATEGORY,pangasius fillets (Pangasianodon hypophthalmus) (frozen in glaze with added water),higher content of water than declared (47.5 - 50.7% instead of 30%) (W/P ratio: 10.01),Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,,"water addition (W/P ratio: 10.1), lower net weight than declared (622 g instead of 640 g)",Vietnam,
