fraud_type,classification,product_category,commodity,issue,origin,notified_by
Product tampering,Adulteration (ingredient substitution),CATEGORY,pangasius fillets (Pangasianodon hypophthalmus) (frozen in glaze),water addition (W/P ratio: 7.4),Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,,"water addition (W/P ratio: 7.6), lower net weight than declared (702 g instead of 720 g)",Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,pangasius fillets (Pangasianodon hypophthalmus) (frozen in glaze),"water addition (W/P ratio: 9), lower net weight than declared (602 g instead of 640 g)",Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,,higher water content than declared (43.4 % instead of 34%) (W/P ratio: 4.67),Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,truffle-based preparation,truffle content lower than declared,Italy,
Product tampering,Adulteration (species substitution),(other than poultry),honey (buckwheat),pollen profile deviation,Lithuania,
Product tampering,"Unapproved process (concealment, enhancement)",products,decoration sprinkles,titanium dioxide (E 171) (47 mg/kg),Netherlands,
Product tampering,"Unapproved process (concealment, enhancement)",products,sweets,titanium dioxide (E 171) (17.4 mg/kg),Colombia,
Product tampering,"Unapproved process (concealment, enhancement)",products,sweets,titanium dioxide (E 171),Russia,
Product tampering,"Unapproved process (concealment, enhancement)",products,sweets,titanium dioxide (E 171),Argentina,
Product tampering,"Unapproved process (concealment, enhancement)",products,food supplements,titanium dioxide (E 171),Netherlands,
Product tampering,"Unapproved process (concealment, enhancement)",products,food supplements,titanium dioxide (E 171),Latvia,
Product tampering,"Unapproved process (concealment, enhancement)",products,food supplements,titanium dioxide (E 171),Cyprus,
Product tampering,"Unapproved process (concealment, enhancement)",products,pangasius fillets (Pangasianodon hypophthalmus) (frozen with added water),phosphoric acid (E 338),Netherlands,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,,irradiation,Vietnam,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,wax coating (for limes),"ammonium hydroxide (E 527), fatty acid salts (E 470)",Brazil,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,,chlorate (15 mg/kg),China,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,xanthan gum (E 415),chlorate (4.6 mg/kg),China,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,peaches (canned),erythorbic acid (E 315),China,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,"pepper (ground), cinnamon (ground)",ethylene oxide (11.8 mg/kg),Lebanon,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,turmeric (ground),ethylene oxide (52.6 mg/kg),Lebanon,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,beef,progesterone (1.03 µg/kg),Argentina,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,beef,progesterone (10.51 µg/kg),Uruguay,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,beef (minced),"sodium erythorbate (E 316), erythorbic acid (E 315), sodium carbonates (E 500), triphosphates (E 451), polyphosphates (E 452)",Bulgaria,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,meat products,monosodium glutamate (E 621),Poland,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,cheese (grated),natamycin (E 235),Bulgaria,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,soft drinks,acesulfame k (E 950),Vietnam,
Product tampering,"Unapproved process (concealment, enhancement)",CATEGORY,wine,water and sugar addition,Hungary,
Product tampering,"Undeclared process (concealment, enhancement)",CATEGORY,apricots,"sulphur dioxide (E 220), absence of labelling on one part of the consignment",Tajikistan,
Product tampering,"Undeclared process (concealment, enhancement)",CATEGORY,fruit mix,sulphur dioxide (E 220) (16 mg/kg),Italy,
Product tampering,"Undeclared process (concealment, enhancement)",CATEGORY,pickles,sulphur dioxide (E 220) (22 mg/kg),Türkiye,
Product tampering,"Undeclared process (concealment, enhancement)",CATEGORY,raisins,sulphur dioxide (E 220) (130 mg/kg),Iran,
Product tampering,"Undeclared process (concealment, enhancement)",CATEGORY,raisins,sulphur dioxide (E 220) (174 mg/kg),Afghanistan,
Product tampering,"Undeclared process (concealment, enhancement)",CATEGORY,wine,sulphur dioxide (E 220),Spain,
Record tampering,EU protected designation,CATEGORY,ham,"misleading denomination ""Prosciutto di Parma""","Japan, Spain",
Record tampering,EU protected designation,Other food product /,,"misleading denomination ""Gouda geschmack""",Greece,
Record tampering,EU protected designation,mixed,wine,"misleading denomination ""Collio Goriziano / Collio""",Slovenia,
Record tampering,Intellectual Property Rights,mixed,,counterfeit,Albania,
Record tampering,Intellectual Property Rights,mixed,casein (rennet),traceability defects (misuse of identity and approval number),Lithuania,
Record tampering,Nutrition and health claims,Cocoa and cocoa,tea,health claims,France,
Record tampering,Nutrition and health claims,tea,supplementary feed for poultry,health claims (e-marketed),Italy,
Record tampering,Nutrition and health claims,tea,energy drinks,health claims,Ireland,
Record tampering,Nutrition and health claims,tea,food supplements,health claims,Netherlands,
Record tampering,Nutrition and health claims,tea,food supplements,health claims,Austria,
Record tampering,Nutrition and health claims,tea,food supplements,health claims,Germany,
Record tampering,Nutrition and health claims,tea,food supplements,health claims,Netherlands,
Record tampering,Nutrition and health claims,tea,food supplements,health claims,Netherlands,
Record tampering,Nutrition and health claims,tea,food supplements,health claims,Germany,
Record tampering,Nutrition and health claims,tea,protein bars,health claims (e-marketed),Germany,
Record tampering,Nutrition and health claims,tea,,health claims (e-marketed),Germany,
Record tampering,Nutrition and health claims,tea,infusion,health claims,France,
Record tampering,Nutrition and health claims,tea,energy drinks,health claims,South Korea,
Record tampering,Nutrition and health claims,tea,energy drinks,health claims (e-marketed),United Kingdom,
Record tampering,Nutrition and health claims,"Soups, broths, sauces",salt,health claims,Slovenia,
Record tampering,Organic claims,and condiments,pasta (soy) (organic),GMO free claim (0.32% detected),Germany,
Record tampering,Product attribute(s) claims,and condiments,drinks (protein),"misleading claim (""histamine-free"") (e- marketed)",Czechia,
Record tampering,Product attribute(s) claims,and condiments,erythritol,"misleading claim (""natural sweetener"")",Netherlands,
Record tampering,Product attribute(s) claims,and condiments,kitchenware,"self-evident claim (""non-toxic"")",Germany,
Record tampering,Product attribute(s) claims,and condiments,mushrooms,"self-evident claim (""vegan"")",Germany,
Record tampering,Product attribute(s) claims,"Soups, broths, sauces",salt (iodine-free),iodine (>= 0.3 mg/kg),Türkiye,
Record tampering,"Product related dates, records and information",and condiments,spirit drinks (made from rice),"marketed as wine, lower content of alcohol than declared (13.16% instead of 14%)",China,
Record tampering,"Product related dates, records and information",CATEGORY,cocoa butter,"properties inconsistent with ""100% cocoa butter"" claim",Côte d'Ivoire,
Record tampering,"Product related dates, records and information",CATEGORY,sweet spread,higher content of sugar than declared (9.16 g/100 g instead of 5.6 g/100 g),Netherlands,
Record tampering,"Product related dates, records and information",CATEGORY,food supplements,lower content of vitamin A than declared (290,Romania,
Record tampering,"Product related dates, records and information",CATEGORY,palm oil,misleading energy value labelling (higher fat content),Ecuador,
Record tampering,"Product related dates, records and information",CATEGORY,spread (vegan),misleading claim (allusion to butter),Denmark,
Record tampering,"Product related dates, records and information",CATEGORY,clementines,misleading picturing evocating Portuguese origin,Spain,
Record tampering,"Product related dates, records and information",CATEGORY,melons,omission of origin information,Spain,
Record tampering,"Product related dates, records and information",CATEGORY,cheese,higher content of fat than declared (53.5 g/100 g instead of 45 g/100 g),Germany,
Record tampering,"Product related dates, records and information",CATEGORY,cheese (powder),higher content of carbohydrates than declared (3.2 g/100 g instead of 0 g/100 g),Netherlands,
Record tampering,"Product related dates, records and information",CATEGORY,drink (oat),misleading picturing (cow) and naming (milk),Germany,
Record tampering,"Product related dates, records and information",Poultry meat and,duck meat,absence of mandatory origin indications,France,
Record tampering,"Product related dates, records and information",poultry meat products,snacks,"GMOs >5% (MON810, NK603, TC1507, MON88017, MON87427, MON89034) (undeclared)",United States,
Record tampering,"Product related dates, records and information",poultry meat products,,"misleading indication ""black truffle""",Spain,
Record tampering,"Product related dates, records and information",poultry meat products,wine,misapplied award label (different production lot than the awarded one),Spain,
Record tampering,"Quantity (net, gross, weight, volume)",poultry meat products,tilapia (Oreochromis niloticus) (frozen in glaze),incorrect net weight declaration,Netherlands,
Other non-compliances,"Quantity (net, gross, weight, volume)",CATEGORY,,incorrect net weight declaration,Netherlands,
Other non-compliances,Others (record tampering),CATEGORY,pork tongues (frozen),"forgery of export documents (CRM, health certificate and quality certificate)",Belgium,
Other non-compliances,Others (record tampering),fortified foods,peppers,"falsification of origin, forgery of plant health passports, presence of multiple residues of pesticides above MRLs",Vietnam,
Other non-compliances,Others (record tampering),CATEGORY,kitchenware,"bamboo fibers, corn flour",Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,noodles (organic),GMO (Cry1Ab/Ac),China,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,biscuits,"tetrahydrocannabinol (delta-9-THC: 2.15 g/kg), cannabidiol (CBD) (41.5 mg/kg)",Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,chocolates,"sildenafil (2.17 g/kg), tadalafil",Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,chewing gums,cannabidiol (CBD),Czechia,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,sweets,tetrahydrocannabinol (THC) (0.75 mg/kg),Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,sweets,tetrahydrocannabinol (THC) (0.8 g/kg),Czechia,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,sweets (CBD),"cannabidiol (CBD), (e-marketed)",Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,sweets (CBD),"tetrahydrocannabinol (THC) (0.64 mg/kg), cannabidiol (CBD) (825.69 mg/kg)",United States,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"cadmium (2.55 mg/kg), lead (31.9 mg/kg), mercury (0.378 mg/kg), shungite powder (e- marketed)",Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,Cordyceps militaris,China,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"fulvic acid, tongkat ali (Eurycoma longifolia), Ajuga turkestanica, Cordyceps militaris (e- marketed)",United States,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,sildenafil,Thailand,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,Trametes versicolor,Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"Tribulus terrestris, Withania somnifera, maca (Lepidium meyenii) (e-marketed)",Poland,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"turkesterone, Tribulus terrestris (e-marketed)",China,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"boron, molibden, health claims",United Kingdom,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,,"cannabidiol (CBD), health claims (e-marketed)",Austria,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,sweets,cannabidiol (CBD),Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,soybean meal,"GMO (p35S, bar)",Argentina,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,bracken (Pteridium aquilinum (L.) Kuhn),Pteridium aquilinum (L.) Kuhn,South Korea,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,curcuma,Curcuma longa L.,India,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,soft drinks,sildenafil (453 mg/kg),Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food products,tetrahydrocannabinol (THC) (e-marketed),Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food products,"tetrahydrocannabinol (THC), cannabidiol (CBD) (e-marketed)",Spain,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,herbal honey paste,sildenafil (5910 mg/kg) (e-marketed),Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,toffee paste,sildenafil (5.66 g/kg),Türkiye,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,apple pulp pellets,"chlorpyrifos (0.041 mg/kg), carbendazim (0.011 mg/kg), anthraquinone (0.026 mg/kg)",Poland,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,chamomile (dried),carbaryl (0.12 mg/kg),Czechia,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,bananas (organic),chlorpyrifos (0.014 mg/kg),Ecuador,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,bananas (organic),chlorpyrifos (0.55 mg/kg),Peru,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,cabbage,chlorpyrifos (0.039 mg/kg),Poland,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,mandarins,chlorpyrifos (0.015 mg/kg),Spain,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,tomatoes,biphenyl (0.025 mg/kg),Spain,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,CATEGORY,tomatoes,chlorfenapyr (0.052 mg/kg),Italy,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,Prepared dishes and,,quintozene (0.018 mg/kg),Germany,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,snacks,shrimps (Litopenaeus vannamei) (frozen),chloramphenicol (0.23 µg/kg),India,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,snacks,shrimps (Penaeus monodon) (frozen with added water),"malachite green (2.8 µg/kg), leucomalachite green (1.6 µg/kg)",Bangladesh,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,snacks,shrimps (Penaeus monodon) (frozen),"leucomalachite green (0.29 µg/kg), crystal violet (0.36 µg/kg)",India,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,CATEGORY,eggs,doxycycline (163 µg/kg) (anti-coccicidal agent not authorised for laying hens),Ukraine,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,CATEGORY,honey,streptomycin (147 µg/kg),Bulgaria,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,CATEGORY,cattle,17- - -zearalenol (1.5 µg/kg) in urine sample,Latvia,
Other non-compliances,Smuggling,CATEGORY,sweets,"milk ingredients, illegal import",Egypt,
Other non-compliances,Smuggling,CATEGORY,caviar,illegal import,China,
Other non-compliances,Smuggling,CATEGORY,peppers (pickled),traceability defects (absence of invoice),Türkiye,
Other non-compliances,Smuggling,CATEGORY,meat products,"attempt to illegally import, absence of labelling, transport temperature",Moldova,
Other non-compliances,Smuggling,CATEGORY,ghee,"milk ingredients, illegal import",India,
Other non-compliances,Smuggling,CATEGORY,coffee creamer,"milk ingredients, illegal import",Lebanon,
Other non-compliances,Smuggling,CATEGORY,food products,"attempt to illegally import, absence of labelling",Romania,European
Other non-compliances,Smuggling,CATEGORY,food products,"attempt to illegally import, absence of labelling, transport temperature",Moldova,
Other non-compliances,Smuggling,CATEGORY,meat products,"attempt to illegally import, absence of labelling",Moldova,European
Other non-compliances,Smuggling,CATEGORY,snacks,"milk ingredients, illegal import, traceability defects (missing importer address)",Iran,
Other non-compliances,Smuggling,"Soups, broths, sauces",sauce (cheese),illegal import,,
Other non-compliances,"Theft, resale and over run",and condiments,fish products,manufactured during a period when the company had declared suspension of activities,Latvia,
Other non-compliances,"Unauthorised origin (country, operators,",fortified foods,fishery products,unregistered operator,Germany,
Other non-compliances,"Unauthorised origin (country, operators,",Other food product /,food products,unauthorised operators,Sweden,
Other non-compliances,Others (implicit claim violations),mixed,rice (jasmin),"traceability defects (no EU operator on the label), improper health certificate",Vietnam,
Other non-compliances,Others (implicit claim violations),Cocoa and cocoa,matcha tea,unauthorised placing on the market,Japan,
Other non-compliances,Others (implicit claim violations),tea,food for special medical purposes,deliberate placing on the market of a mislabelled medical-purpose supplement (vitamin A absent from the labelled composition),Spain,
Other non-compliances,Others (implicit claim violations),tea,fish (frozen),transport temperature,Netherlands,
Other non-compliances,Others (implicit claim violations),tea,kitchenware,improper declaration of conformity,China,
Other non-compliances,Others (implicit claim violations),tea,fruits and vegetables,"traceability defects (no country of origin, missing information on category and variety)",Spain,
Other non-compliances,Others (implicit claim violations),tea,salt,traceability defects (missing address of operator),Germany,
Other non-compliances,Others (implicit claim violations),tea,honey (linden),traceability defects (unknown origin),Bulgaria,
Other non-compliances,Others (implicit claim violations),tea,cattle,identification defect (absence of ear tags),Croatia,
Other non-compliances,Others (implicit claim violations),tea,beef,traceability defect (unlabelled cuts),Romania,
Other non-compliances,Others (implicit claim violations),tea,,transport temperature (up to - 3.1ºC),Netherlands,
Other non-compliances,Others (implicit claim violations),tea,dairy products,transport temperature,Germany,
Other non-compliances,Others (implicit claim violations),tea,food products,traceability defects (absence of labelling),Afghanistan,
