fraud_type,classification,product_category,commodity,issue,origin,notified_by
Product tampering,Additives not compliant with EU MLsi,Confectionery,sweets,carmin (E 120) (360 mg/kg),China,Denmark
Product tampering,Additives not compliant with EU MLsi,Confectionery,shrimps (Penaeus vannamei) (frozen),sulphur dioxide (E220) (562 mg/kg),Ecuador,
Product tampering,Additives not compliant with EU MLsi,Confectionery,surimi (frozen),polyphosphates (E 452) (2430 mg/kg),China,
Product tampering,Additives not compliant with EU MLsi,beverages,sausages (chicken),polyphosphates (E 452) (5340 mg/kg),Slovenia,
Product tampering,Adulteration (ingredient dilution),beverages,,sunflower oil,Greece,
Product tampering,Adulteration (ingredient dilution),beverages,extra virgin olive oil,sunflower oil (e-marketed),Greece,
Product tampering,Adulteration (ingredient dilution),beverages,,sunflower oil (e-marketed),Greece,
Product tampering,Adulteration (ingredient dilution),beverages,honey,foreign amylase (Aspergillus oryzae),Germany,
Product tampering,Adulteration (ingredient dilution),beverages,honey,"pollen deficiency, atypical sensory characteristics (caramel-like aroma)",China,
Product tampering,Adulteration (ingredient dilution),beverages,honey,"sugar content, foreign amylase (Aspergillus oryzae)",Belgium,
Product tampering,Adulteration (ingredient dilution),beverages,honey,sugar profile deviation,Greece,
Product tampering,Adulteration (ingredient substitution),beverages,scallops (Mizuhopecten yessoensis) (frozen),water addition (49.5% instead of 25%),Netherlands,
Product tampering,Adulteration (ingredient substitution),Cocoa and cocoa,"coffee (ground, roasted, flavored)","misleading claim ""vanilla"", presence of vanillin (396 mg/100 g)",Italy,
Product tampering,Adulteration (ingredient substitution),and tea,coconut palm sugar,cane sugar,Netherlands,
Product tampering,Adulteration (ingredient substitution),and tea,fish preparation (Theragra chalcogramma),misdeclared fish meat content (54.9% instead of 65%),Slovakia,
Product tampering,Adulteration (ingredient substitution),and tea,,"water addition (W/P ratio: 10.37), misdeclared fish meat content (54% instead of 85%)",Vietnam,
Product tampering,Adulteration (ingredient substitution),CATEGORY,beef (with soy protein) (frozen),misdeclared protein content (16.5 g/ 100 g instead of 25.20 g/100 g) and fat content (18 g/100 g instead of 26.58 g/100 g),Bulgaria,
Product tampering,Adulteration (ingredient substitution),CATEGORY,sausages (pork) (canned),soya and chicken (undeclared),Netherlands,
Product tampering,Adulteration (ingredient substitution),Other food product /,cheese substitute,presented as dairy,Greece,
Product tampering,Adulteration (ingredient substitution),mixed,chicken meat (frozen),water addition (W/P ratio: 4.10),Poland,
Product tampering,Adulteration (ingredient substitution),mixed,chicken meat products,misdeclared meat content (35% instead of 65%),Germany,
Product tampering,Adulteration (species substitution),mixed,rice (basmati),other species than declared,Lithuania,
Product tampering,Adulteration (species substitution),mixed,food preparation based on crab- flavored surimi (frozen),Sardinella spp instead of Nemipterus virgatus,China,
Product tampering,Adulteration (species substitution),Meat and meat,"kebab meat (beef, chicken, turkey)",absence of turkey meat,Poland,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),noodles,tertiary-butyl hydroquinone (E 319),Sri Lanka,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),rice,ethylene oxide (0.032 mg/kg),Italy,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),rice (organic),ethylene oxide (0.068 mg/kg),Pakistan,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),,ethylene oxide (0.11 mg/kg),India,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),chocolate powder mix,maltitol (E 965),Spain,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),herbal tea,perchlorate (0.944 mg/kg),Poland,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),almonds (sugar coated),erythrosine (E 127),Syria,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),sweets,"agar (E 406), carrageenan (E 407), pectins (E 440)",China,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),sweets,konjac (E 425),China,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),Boswellia serrata extract powder,ethylene oxide (0.4 mg/kg),India,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),food supplements,ethylene oxide (1.3 mg/kg),China,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),food supplements,ethylene oxide (37.2 mg/kg),China,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),food supplements,titanium dioxide (E 171) (e-marketed),Poland,
Product tampering,"Unapproved process (concealment, enhancement)",poultry),palm oil,sudan 4 (2625 µg/kg),Ghana,
Record tampering,"Unapproved process (concealment, enhancement)",Food additives and,food colouring,reactive red 198 instead of beetroot,France,
Record tampering,"Unapproved process (concealment, enhancement)",flavourings,peaches (canned),erythorbic acid (E 315) (141 mg/kg),China,
Record tampering,"Unapproved process (concealment, enhancement)",flavourings,black pepper,ethylene oxide (0.56 mg/kg),India,
Record tampering,"Unapproved process (concealment, enhancement)",flavourings,"kebab meat (beef, poultry)","monosodium glutamate (E 621) (3.48 g/kg), mechanically separated meat (MSM) (undeclared)",Poland,
Record tampering,"Unapproved process (concealment, enhancement)",mixed,chicken meat (frozen),benzalkonium chloride (BAC) (0.28 mg/kg),Czechia,
Record tampering,"Unapproved process (concealment, enhancement)","Soups, broths, sauces",dressing (lemon),glycerol esters of wood rosins (E 445),Türkiye,
Record tampering,"Unapproved process (concealment, enhancement)",and condiments,sauces,ethylene oxide (0.18 mg/kg),India,
Record tampering,"Unapproved process (concealment, enhancement)",Wine,wine,glycerol (E 422) (6.4 g/l),France,
Record tampering,"Undeclared process (concealment, enhancement)",Wine,fruits (dried),sulphites (E 200 - 228) (72; 80.9; 143.9; 171.0 mg/kg),Vietnam,
