fraud_type,classification,product_category,commodity,issue,origin,notified_by
Record tampering,"Undeclared process (concealment, enhancement)",Wine,lemons,"imazalil (2.5 mg/kg), described as “untreated”",Spain,
Record tampering,"Undeclared process (concealment, enhancement)",Wine,potatoes (boiled),sulphur dioxide (E 220) (420; 448 mg/kg),Slovenia,
Record tampering,"Undeclared process (concealment, enhancement)",Wine,raisins,sulphur dioxide (E 220) (825 mg/kg),Netherlands,
Record tampering,"Undeclared process (concealment, enhancement)",Wine,beef (canned),diphosphates (E 450),Netherlands,
Record tampering,"Undeclared process (concealment, enhancement)",Wine,,nitrates salts (E 251 - E 252) (2.74 mg/100 g),Greece,
Record tampering,"Undeclared process (concealment, enhancement)",Wine,sausage (pork),glutamic acid (E 620) (926 mg/kg),Spain,
Record tampering,"Undeclared process (concealment, enhancement)","Soups, broths, sauces",vinegar (rice),sulphites (E 220 - E 228) (12.9 mg/l),Italy,
Record tampering,EU protected designation,Milk and milk products,cheese (organic),"evocation of ""Feta""",France,Greece
Record tampering,EU protected designation,Milk and milk products,wine-making ingredient kit,misleading denomination “Pinot Grig-io” marketed),(e Poland,
Record tampering,Intellectual Property Rights,Meat and meat,sausage (dried),fraudulent use of another operator identification,Greece,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims,Czechia,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims,Poland,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims,Belgium,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims,Czechia,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),France,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),United States,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),France,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),Austria,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),Slovenia,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),Spain,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),Estonia,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),Czechia,
Record tampering,Nutrition and health claims,poultry),food supplements,health claims (e-marketed),Spain,
Record tampering,Nutrition and health claims,poultry),dates,nutrition and health claims,Jordan,
Record tampering,Nutrition and health claims,CATEGORY,dates,"nutrition claims, self-evident claim (gluten- free)",Israel,
Record tampering,Nutrition and health claims,Other food product /,,nutrition claims (e-marketed),,
Record tampering,Organic claims,mixed,sunflower seeds (organic),tau-fluvalinate (0.027 mg/kg),Slovakia,
Record tampering,Product attribute(s) claims,"Dietetic foods, food",food supplements,health claims (e-marketed),Czechia,
Record tampering,Product attribute(s) claims,supplements and,protein (spread),4.8% of protein content instead of at least 15%,Germany,
Record tampering,Product attribute(s) claims,Meat and meat,pork sausages (chilled),"presence of casein in a product labelled as ""free from milk and its derivatives""",Italy,
Record tampering,Product attribute(s) claims,poultry),soft drinks,isotonic' claim,Poland,
Record tampering,"Product related dates, records and information",products,sweets,"misleading picturing (pistachio, carrots), ingredient order inconsistent with real composition",Türkiye,
Record tampering,"Product related dates, records and information",products,food supplements,misdeclared beta-alanine content (55% less than labelled),Italy,
Record tampering,"Product related dates, records and information",products,food supplements,"misleading origin (""Made in the EU"")",China,
Record tampering,"Product related dates, records and information",products,protein bars,"GMO >0.9% (MON87708, MON89788, GTS40- 3-2, DAS-44406-6) (undeclared)",Ukraine,
Record tampering,"Product related dates, records and information",products,,"labeled as ""solid tuna"" despite an excessive flake content (39.5%)",Portugal,
Record tampering,"Product related dates, records and information",products,garlic (pickled in oil),misdeclared salt content (7.8 g instead of 3.9 g) and sugar content (5.9 g instead of 0 g),Pakistan,
Record tampering,"Product related dates, records and information",products,infant milk,misdeclared docosahexaenoic acid content (<1 mg/100 g instead of 85 mg/ 100 g),Poland,
Record tampering,"Product related dates, records and information",products,,misleading picturing (orchids),Belgium,
Record tampering,"Product related dates, records and information",products,matcha oat drink,misdeclared caffeine content (18.8 - 28.8 mg/100 ml instead of 16 mg/100 ml),Sweden,
Record tampering,Others (record tampering),products,strawberries (frozen),falsification of origin,unknown,
Record tampering,Others (record tampering),products,cattle (1),identity mismatch with passport,Croatia,
Record tampering,Others (record tampering),products,butter,extension of the shelf-life assigned by the manufacturer,Netherlands,
Record tampering,Others (record tampering),Other food product /,food products,altered best before date,Germany,
Other non-compliances,Diversion,products thereof,meat products,unfit for human consumption,Netherlands,
Other non-compliances,Diversion,"Nuts, nut products and",,sowing seeds diverted for sprouting,Lithuania,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,biscuits,"tetrahydrocannabinol (THC) (3470; 6430 mg/kg), cannabidiol (CBD) (102; 147 mg/kg)",Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,pastries,hemp extract (Cannabis sativa L.),Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,chocolate,sildenafil (3250 mg/kg),Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,chocolate,sildenafil (5700 mg/kg) (e-marketed),Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,chocolate,sildenafil (5900 mg/kg) (e-marketed),Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,herbal infusions,"Chenopodium ambrosioides, Baccharis trimera",Paraguay,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,herbal tea,hay flower (Flores graminis),Austria,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,tea (organic),greater celandine (Chelidonium majus L.) (e- marketed),Bulgaria,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,sweets,cannabidiol (CBD),Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,CBD products,cannabidiol (CBD) (e-marketed),Slovakia,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,"1,3-dimethylamylamine (DMAA) (e-marketed)",United States,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,"5-hydroxytryptophan (5-HTP), tri-creatine malate, titanium dioxide (E 171) (e- marketed)",United States,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,calcined iron oxide (e-marketed),India,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,deer placenta extract (e-marketed),Singapore,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,"Epimedium, tongkat ali (Eurycoma longifolia), Mucuna pruriens",United Kingdom,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,"greater celandine (Chelidonium majus L.), Mucuna pruriens (e-marketed)","United States, Netherlands",
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,kava kava (Piper methysticum) (e-marketed),Hong Kong,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,Mucuna pruriens (e-marketed),India,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,N-acetylcysteine (600 mg/dosage),Ireland,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,nicotinamide mononucleotide (NMN),Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,pancreatin (e-marketed),United States,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,pancreatin (e-marketed),Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",seeds,food supplements,"pancreatin, Mucuna pruriens (e-marketed)",United States,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"paracetamol (48.8 g/kg), dexamethasone (0.302 g/kg) (e-marketed)",Thailand,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"sildenafil (10 mg/item), tadalafil (20 mg/item)",Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,sildenafil (4280 mg/kg),Malaysia,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"sunflower protein isolate, health claims (e- marketed)",Germany,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,"tetrahydrocannabinol (THC) (292.5 mg/kg), cannabidiol (CBD) (284954.6 mg/kg)",Slovenia,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,tri-creatine malate,Poland,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,wild lettuce (Lactuca virosa),Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,yohimbine (e-marketed),United States,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements,yohimbine hydrochloride (e-marketed),Hong Kong,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements (organic),cannabidiol (CBD),Switzerland,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,,Melaleuca alternifolia,France,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,food supplements (organic),Mucuna pruriens (e-marketed),United States,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,blue spirulina,blue spirulina extract (e-marketed),Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,honey,tadalafil (e-marketed),United Kingdom,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,CBD pouches,cannabidiol (CBD),Sweden,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,herbal paste,sildenafil (7750 mg/kg),Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,,jaggery palm (Caryota urens),Sri Lanka,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,mushrooms (Psilocybe genus) (whole and powdered),Psilocybe genus (e-marketed),Netherlands,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,,Saponaria officinalis root extract,Türkiye,
Other non-compliances,"Food, ingredient not authorised in the EU",CATEGORY,tincture,greater celandine (Chelidonium majus L.) (e- marketed),Romania,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,Cereals and bakery,rice,deltamethrin (1.7 mg/kg),Spain,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,herbal tea,chlorpyrifos (0.027 mg/kg),Austria,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,valerian (ground),fipronil (0.011 mg/kg),Germany,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,oranges,"spirotetramat (0.023 mg/kg), dichlorprop (0.01 mg/kg)",Spain,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,,anthraquinone (0.048 mg/kg),Netherlands,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,chili (ground),clothianidin (0.01 mg/kg),Germany,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,mint,thiametoxam (0.13 mg/kg),Spain,
Other non-compliances,Residue of pesticide(s) not approved for use in the EU,products,yoghurt (frozen),"benzyldimethyldodecylammonium chlorid (BAC-12) (0.34 mg/kg), (BAC-14) (0.15 mg/kg), (BAC-16) (0.02 mg/kg), didecyldimethylammonium chlorid (DDAC-10) (0.46 mg/kg)",Austria,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,products,liquid pasteurized eggs,enrofloxacin (0.041 mg/kg),Austria,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,products,pig blood,doxycycline (889 µg/kg),Netherlands,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,products,pork meat,doxycycline (186; 639 µg/kg),Denmark,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,products,milk,florfenicol (7.46; 11.07 µg/kg),Belgium,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,products,chicken meat (chilled),doxycycline (118 µg/kg),Netherlands,
Other non-compliances,Residues of veterinary medicines not compliant with EU MRLsii,products,,doxycycline (188 µg/kg),Poland,
Other non-compliances,Smuggling,products,baby food,"milk ingredient, illegal import",Türkiye,
Other non-compliances,Smuggling,products,biscuits,illegal import,Egypt,
Other non-compliances,Smuggling,products,biscuits,illegal import,Sri Lanka,
Other non-compliances,Smuggling,products,biscuits,"milk ingredient, illegal import",Hong Kong,
Other non-compliances,Smuggling,products,noodles,illegal import,South Korea,
Other non-compliances,Smuggling,products,pasta,illegal import,Hong Kong,
Other non-compliances,Smuggling,products,pasta,illegal import,China,
Other non-compliances,Smuggling,Cocoa and cocoa,matcha powder,attempt to illegally import,China,
Other non-compliances,Smuggling,"preparations, coffee",tea,"milk ingredient, illegal import",Pakistan,
Other non-compliances,Smuggling,and tea,chocolate candies,"milk ingredient, illegal import",India,
Other non-compliances,Smuggling,and tea,sweets,"milk ingredient, illegal import",China,
Other non-compliances,Smuggling,"Dietetic foods, food",food supplements,attempt to illegally import,India,
Other non-compliances,Smuggling,supplements and,food supplements,illegal import,India,
Other non-compliances,Smuggling,Fish and fish products,fish gelatin,illegal import,China,
Other non-compliances,Smuggling,CATEGORY,cattle (1),"traceability defects (absence of passport, mismatch between the ear tag of the animal being transported and the one listed on the certificate)",Croatia,
Other non-compliances,Smuggling,CATEGORY,dumplings,"pork, illegal import",China,
Other non-compliances,Smuggling,CATEGORY,pig skins,illegal import,United Kingdom,
Other non-compliances,Smuggling,CATEGORY,pork meat (chilled),illegal import,,
Other non-compliances,Smuggling,CATEGORY,cheese sauce,illegal import,United States,
Other non-compliances,Smuggling,CATEGORY,food products,illegal import,Honduras,
Other non-compliances,Smuggling,CATEGORY,food products,"illegal import, traceability defects (absence of labelling)",Nigeria,
Other non-compliances,Smuggling,CATEGORY,composite products,illegal import,United Kingdom,
Other non-compliances,Smuggling,CATEGORY,food products,attempt to illegally import,Peru,
Other non-compliances,Smuggling,CATEGORY,sauces,illegal import,South Korea,
Other non-compliances,Smuggling,CATEGORY,sauces,"milk and egg ingredients, illegal import",Ukraine,
Other non-compliances,"Theft, resale and over run",CATEGORY,clams (Ruditapes philippinarum),"traceability defects (discrepancy between declared quantities, production date mismatch)",France,
Other non-compliances,"Unauthorised origin (country, operators, establishments… )",CATEGORY,cheese,use of another establishment's approval number,Switzerland,
Other non-compliances,Others (implicit claim violations),CATEGORY,fish roes (frozen),traceability defects (misuse of approval number of another establishment),Finland,
Other non-compliances,Others (implicit claim violations),CATEGORY,kitchenware,improper declaration of conformity,"China, Romania",
Other non-compliances,Others (implicit claim violations),Meat and meat,meat products (chilled),traceability defects (absence of health mark),Poland,
Other non-compliances,Others (implicit claim violations),poultry),cheese,absence of health mark,Italy,
Other non-compliances,Others (implicit claim violations),Non-alcoholic,juices,improper storage,Czechia,
Other non-compliances,Others (implicit claim violations),beverages,chicken meat,"traceability defects (absence of labelling), transport temperature",Netherlands,
